timestamp,x,y,z
1448925300.0,23.232,159.424,-986.176
1448925360.0,15.82122905027933,48.357541899441344,-1002.9050279329609
1448925420.0,14.716577540106952,49.13368983957219,-1000.4705882352941
1448925480.0,15.680851063829786,48.06382978723404,-1000.4255319148937
1448925540.0,16.490367775831874,50.07355516637478,-999.4956217162872
1448925600.0,16.20251722124927,49.26077758318739,-998.6278108581437
1448925660.0,15.914666666666667,48.448,-997.76
1448925720.0,21.610666666666667,30.122666666666667,-1001.984
1448925780.0,20.2,30.36,-1002.62
1448925840.0,20.594285714285714,31.794285714285714,-999.7257142857143
1448925900.0,19.450963559132575,31.042825843952603,-999.8797406662195
1448925960.0,18.30764140397943,30.291365973619495,-1000.0337670467248
1448926020.0,17.164319248826292,29.539906103286384,-1000.1877934272301
1448926080.0,16.610441767068274,31.67871485943775,-1003.0843373493976
1448926140.0,15.616,27.136,-1000.7466666666667
1448926200.0,15.508571428571429,28.262857142857143,-1000.16
1448926260.0,17.450666666666667,27.562666666666665,-999.9573333333333
1448926320.0,16.96797153024911,27.501779359430603,-1000.6548042704626
1448926380.0,16.574468085106382,27.97872340425532,-1000.4893617021277
1448926440.0,15.594320486815416,26.904665314401623,-1001.7687626774848
1448926500.0,15.398583730952193,23.67297322659583,-1001.2829578511979
1448926560.0,15.202846975088969,20.441281138790035,-1000.797153024911
1448926620.0,14.042553191489361,19.148936170212767,-999.4042553191489
1448926680.0,12.996923076923077,30.08,-1000.1723076923076
1448926740.0,17.01219512195122,29.26829268292683,-1000.9512195121952
1448926800.0,20.93617021276596,31.148936170212767,-1001.3617021276596
1448926860.0,19.597241379310343,30.433103448275862,-1001.191724137931
1448926920.0,18.965853658536584,32.42926829268293,-1000.4292682926829
1448926980.0,17.2,32.50769230769231,-999.4461538461538
1448927040.0,-155.24266666666668,480.7253333333333,-178.19733333333335
1448927100.0,-145.02862421972534,480.6911061173533,-200.85691885143572
1448927160.0,-134.81458177278404,480.65687890137326,-223.5165043695381
1448927220.0,-124.6005393258427,480.62265168539324,-246.17608988764047
1448927280.0,-114.38649687890137,480.5884244694132,-268.83567540574285
